cv 10,max_iteration 10000,"alpha[0.1, 1.0,10.0]",,,,,,,,,,,,,,,,,,,,,,
LassoCV,,,,,,RidgeCV,,,,,,ElasticNetCV,,,,,,,LinearRegression,,,,,
Random Seed,MSE,MAE,R² Score,RMSE,,Random Seed,MSE,MAE,R² Score,RMSE,,Random Seed,MSE,MAE,R² Score,RMSE,L1_ratio,,Random Seed,MSE,MAE,R² Score,RMSE,
1,22.469,2.999,0.999,4.74,,1,21.732,2.855,0.999,4.662,,1,22.923,3.078,0.999,4.788,0.8,,1,21.704,2.849,0.999,4.659,
2,32.735,3.492,0.999,5.721,,2,31.313,3.293,0.999,5.596,,2,33.395,3.582,0.999,5.779,0.8,,2,31.267,3.285,0.999,5.592,
3,15.289,2.623,1,3.91,,3,14.055,2.458,1,3.749,,3,15.998,2.715,0.999,4,0.8,,3,14.006,2.45,1,3.742,
5,84.268,3.702,0.997,9.18,,5,94.728,3.629,0.997,9.733,,5,88.641,4.012,0.997,9.415,0.3,,5,94.835,3.624,0.997,9.738,
7,46.173,2.922,0.999,6.795,,7,50.111,2.789,0.999,7.079,,7,47.1,2.979,0.999,6.863,0.8,,7,50.154,2.785,0.999,7.082,
99,112.76,3.277,0.997,10.619,,99,111.424,3.106,0.997,10.556,,99,111.274,3.32,0.997,10.549,0.8,,99,111.573,3.104,0.997,10.563,
100,65.522,3.158,0.998,8.095,,100,68.461,2.933,0.998,8.274,,100,66.381,3.312,0.998,8.147,0.6,,100,68.526,2.926,0.998,8.278,
666,23.45,2.811,0.999,4.843,,666,21.592,2.622,0.999,4.647,,666,24.079,2.879,0.999,4.907,0.8,,666,21.538,2.615,0.999,4.641,
2025,187.903,4.041,0.994,13.708,,2025,187.878,3.928,0.994,13.707,,2025,185.468,4.075,0.994,13.619,0.8,,2025,188.05,3.925,0.994,13.713,
,,,,,,,,,,,,,,,,,,,,,,,,
MLPRegressor,"hidden 10,",,,,,MLPRegressor,"hidden 10,5",,,,,MLPRegressor,"hidden 20,20",,,,,,MLPRegressor,"hidden 100,100,100",,,,
Random Seed,MSE,MAE,R² Score,RMSE,,Random Seed,MSE,MAE,R² Score,RMSE,,Random Seed,MSE,MAE,R² Score,RMSE,,,Random Seed,MSE,MAE,R² Score,RMSE,
1,103.759,6.546,0.997,10.186,,1,121.169,6.524,0.997,11.008,,1,1646.84,19.201,0.954,40.581,,,1,2806.794,23.188,0.922,52.979,
2,554.896,13.441,0.985,23.556,,2,1291.878,20.662,0.964,35.943,,2,162.293,8.394,0.996,12.739,,,2,502.521,11.965,0.986,22.417,
3,1094.684,17.353,0.964,33.086,,3,84.184,6.759,0.997,9.175,,3,348.719,9.654,0.989,18.674,,,3,249.012,10.119,0.992,15.78,
5,449.567,12.567,0.986,21.203,,5,314.134,10.557,0.99,17.724,,5,971.233,16.873,0.97,31.165,,,5,665.94,12.67,0.979,25.806,
7,152.416,7.459,0.996,12.346,,7,266.253,9.741,0.992,16.317,,7,220.49,7.629,0.994,14.849,,,7,451.52,12.242,0.987,21.249,
99,329.59,10.959,0.99,18.155,,99,162.172,6.837,0.995,12.735,,99,269.333,10.416,0.992,16.411,,,99,1867.222,23.373,0.945,43.211,
100,308.595,12.211,0.99,17.567,,100,593.976,13.792,0.981,24.372,,100,357.177,12.487,0.989,18.899,,,100,201.375,9.057,0.994,14.191,
666,151.455,6.754,0.996,12.307,,666,299.233,11.009,0.992,17.298,,666,231.59,10.25,0.994,15.218,,,666,833.892,18.538,0.977,28.877,
2025,196.495,7.099,0.994,14.018,,2025,430.316,10.006,0.987,20.744,,2025,191.518,8.011,0.994,13.839,,,2025,1003.478,17.388,0.97,31.678,
,,,,,,,,,,,,,,,,,,,,,,,,
DecisionTreeRegressor,max_depth=5,,,,,DecisionTreeRegressor,max_depth=7,,,,,DecisionTreeRegressor,max_depth=10,,,,,,DecisionTreeRegressor,max_depth=100,,,,
Random Seed,MSE,MAE,R² Score,RMSE,,Random Seed,MSE,MAE,R² Score,RMSE,,Random Seed,MSE,MAE,R² Score,RMSE,,,Random Seed,MSE,MAE,R² Score,RMSE,
1,2806.794,23.188,0.922,52.979,,1,628.552,16.943,0.983,25.071,,1,634.326,15.646,0.982,25.186,,,1,652.929,16.122,0.982,25.552,
2,502.521,11.965,0.986,22.417,,2,691.122,18.132,0.981,26.289,,2,603.415,16.311,0.983,24.565,,,2,604.402,16.111,0.983,24.585,
3,249.012,10.119,0.992,15.78,,3,578.523,18.456,0.981,24.053,,3,542.615,16.748,0.982,23.294,,,3,557.919,16.527,0.982,23.62,
5,665.94,12.67,0.979,25.806,,5,674.749,18.38,0.979,25.976,,5,705.305,17.434,0.978,26.558,,,5,629.678,16.762,0.981,25.093,
7,451.52,12.242,0.987,21.249,,7,566.003,17.497,0.984,23.791,,7,434.541,14.168,0.987,20.846,,,7,426.594,14.054,0.988,20.654,
99,1867.222,23.373,0.945,43.211,,99,971.267,21.092,0.971,31.165,,99,765.239,17.284,0.977,27.663,,,99,752.01,16.881,0.978,27.423,
100,201.375,9.057,0.994,14.191,,100,744.938,19.204,0.977,27.294,,100,692.756,16.582,0.978,26.32,,,100,612.025,15.897,0.981,24.739,
666,833.892,18.538,0.977,28.877,,666,721.275,19.064,0.98,26.857,,666,629.914,15.801,0.983,25.098,,,666,573.015,16.064,0.984,23.938,
2025,1003.478,17.388,0.97,31.678,,2025,780.903,19.361,0.976,27.945,,2025,768.596,18.143,0.977,27.724,,,2025,711.208,17.693,0.978,26.668,
